timestamp,peer_point,traffic_type,bits_per_second,packet_loss_rate,jitter_ms,concurrent_streams,cost_per_gbps
2021-09-17 00:00:00,IXP-NYC,Transit,73973858246.20387,0.00012080512115795398,2.4876350159722733,246579,0.5187255183489375
2021-09-17 00:00:00,PNI-LAX,Direct,87958676393.29324,0.00025644786774653677,2.3612003416976983,293195,0.36657062208947633
2021-09-17 00:00:00,IXP-CHI,Transit,85069551625.27771,0.00039730072635322877,2.8317468978344666,283565,0.485567953266227
2021-09-17 00:00:00,PNI-LON,Direct,75190853616.1321,0.0003408960550773869,2.3689896424028447,250636,0.3910461693479978
2021-09-17 00:00:00,IXP-TYO,Transit,82896536093.35922,0.00027323006665760734,2.0558265618223994,276321,0.46785239746072177
2021-09-17 01:00:00,IXP-NYC,Transit,78857108843.63243,0.00030849371755698206,2.6840416860060907,262857,0.4874680664594986
2021-09-17 01:00:00,PNI-LAX,Direct,82937419179.26236,0.00010899779619063918,2.6483821926798177,276458,0.3370231480937311
2021-09-17 01:00:00,IXP-CHI,Transit,76721905036.65317,0.0001737430482741842,2.5033724274138605,255739,0.4770393863598436
2021-09-17 01:00:00,PNI-LON,Direct,84329902238.9113,0.00028637426826025753,2.850151757126617,281099,0.3867727462477326
2021-09-17 01:00:00,IXP-TYO,Transit,84616552769.52989,0.0003465841334537139,2.5140164523347464,282055,0.44197048089797003
2021-09-17 02:00:00,IXP-NYC,Transit,72450330209.34631,0.0003709556738425569,2.6279235719245606,241501,0.4796051962591566
2021-09-17 02:00:00,PNI-LAX,Direct,72300878421.97023,0.00017299385922452557,2.496954426167246,241002,0.33477046822995477
2021-09-17 02:00:00,IXP-CHI,Transit,85256070773.85448,0.00025607622217063735,2.230073736861573,284186,0.4973432614785027
2021-09-17 02:00:00,PNI-LON,Direct,76935060576.19589,0.0003614756293538445,2.90451608147378,256450,0.3819619198987802
2021-09-17 02:00:00,IXP-TYO,Transit,81756620264.15175,0.0002599198041159229,2.075609688364037,272522,0.4424154704718699
2021-09-17 03:00:00,IXP-NYC,Transit,87022956846.3345,0.00038375768777031285,2.3562189191119964,290076,0.49316174150578407
2021-09-17 03:00:00,PNI-LAX,Direct,86843000691.58331,0.000270183949902134,2.971349650118426,289476,0.3522548106252597
2021-09-17 03:00:00,IXP-CHI,Transit,81663465178.29987,0.00012262095536991243,2.745010316940759,272211,0.4675875031601324
2021-09-17 03:00:00,PNI-LON,Direct,80645435289.73491,0.00036045829660189677,2.5177928280340076,268818,0.3940407597530458
2021-09-17 03:00:00,IXP-TYO,Transit,83261828534.27675,0.00021284977559834047,2.053765381973723,277539,0.4369805130756885
2021-09-17 04:00:00,IXP-NYC,Transit,81691867208.51276,0.00012336177461869406,2.647146665208786,272306,0.49322364683107883
2021-09-17 04:00:00,PNI-LAX,Direct,76367613783.80081,0.00021755160890183243,2.6125384016410402,254558,0.3432085775777722
2021-09-17 04:00:00,IXP-CHI,Transit,80413763862.01059,0.00017226112333836583,2.5384274542944727,268045,0.4661284505950773
2021-09-17 04:00:00,PNI-LON,Direct,72251491412.7941,0.00037037880280446324,2.195375550434794,240838,0.3880580190594516
2021-09-17 04:00:00,IXP-TYO,Transit,81558085012.24556,0.0001622814306122883,2.9096939709333927,271860,0.4361151856928314
2021-09-17 05:00:00,IXP-NYC,Transit,79324579056.77733,0.0003918100759241478,2.138180985388158,264415,0.514534616402839
2021-09-17 05:00:00,PNI-LAX,Direct,86934256234.8082,0.0003061473498502829,2.1254569490624164,289780,0.3429067182215493
2021-09-17 05:00:00,IXP-CHI,Transit,75931297700.24994,0.00038958601402580556,2.9957645515782083,253104,0.47417652965600116
2021-09-17 05:00:00,PNI-LON,Direct,84821801975.31909,0.00021936625958669976,2.6618009142404646,282739,0.3812533275470948
2021-09-17 05:00:00,IXP-TYO,Transit,73115518743.83441,0.00036638764232006,2.0259328963351377,243718,0.43770595070591456
2021-09-17 06:00:00,IXP-NYC,Transit,79757852567.90897,0.00034913848218398645,2.386262964829592,265859,0.47728530169921446
2021-09-17 06:00:00,PNI-LAX,Direct,81770397431.02696,0.0001387293045201518,2.662697438311028,272567,0.33507881640476245
